,fov,line,cellID,parentID,frame,tTrans,L,V,Itot,xCM,yCM,orientation,der
28941,36,4,177,170,146,500.75,3.242679,2.792344,2892103.0,21.537201,23.525061,-0.049487,0.0850585029239766
28942,36,4,177,170,147,507.883333,3.701731,3.48947,3407875.0,22.95376,23.437919,-0.081896,0.08921540915336808
28943,36,4,183,173,148,515.016667,2.56982,1.693052,1837578.0,14.715752,24.003857,-0.030968,0.07150285380854464
28944,36,4,183,173,149,522.15,3.007123,2.156978,2158138.0,14.952929,23.966664,-0.068416,0.0810235243664717
28945,36,4,183,173,150,529.266667,3.568585,2.759287,2739670.0,15.260206,24.007851,-0.066745,0.09666058479532162
28946,36,4,183,173,151,536.4,4.278172,3.580519,3499033.0,15.62238,23.906079,-0.06416,0.10274044093802698
28947,36,4,184,173,148,515.016667,2.523098,2.147102,2122125.0,17.094109,23.821977,0.001914,0.08718416295253109
28948,36,4,184,173,149,522.15,3.030347,2.723435,2697623.0,17.942833,23.759633,-0.04883,0.09325849512670564
28949,36,4,184,173,150,529.266667,3.623615,3.43651,3328284.0,18.852517,23.760405,-0.061258,0.10200458479532162
28950,36,4,184,173,151,536.4,4.314808,4.222581,4179262.0,19.944283,23.618463,-0.063161,0.10465590831725441
28951,36,4,187,174,149,522.15,2.764471,2.441469,2381529.0,20.850285,23.585376,-0.044705,0.09240538208874077
28952,36,4,187,174,150,529.266667,3.349796,3.047629,3020367.0,22.379312,23.532753,-0.059456,0.09590842105263157
28953,36,4,187,174,151,536.4,4.059054,3.808164,3644050.0,24.079564,23.336575,-0.056969,0.09940327567305038
28954,36,4,189,183,152,543.533333,2.488169,1.972873,1856003.0,14.791598,23.953406,-0.060045,0.03414406222952693
28955,36,4,189,183,153,550.666667,2.939061,2.206198,2203245.0,14.965853,23.971933,-0.048192,0.03486154124155281
28956,36,4,189,183,154,557.8,3.471661,2.470231,2553856.0,15.242804,23.934004,-0.062347,0.03557902035415987
28957,36,4,191,184,152,543.533333,2.572414,2.408889,2368517.0,19.927559,23.605597,-0.020128,0.07044134855688342
28958,36,4,191,184,153,550.666667,2.979054,2.879936,2841031.0,21.144322,23.551533,-0.05617,0.07264471792886182
28959,36,4,191,184,154,557.8,3.449974,3.445287,3545381.0,22.391985,23.45036,-0.05314,0.0748480876097238
28960,36,4,201,195,160,600.616667,3.270529,2.362708,2643475.0,15.525245,23.861677,-0.043854,0.10126860286301888
28961,36,4,201,195,161,607.75,3.72233,3.023339,3345426.0,15.60134,23.827845,-0.067441,0.10559699091574734
28962,36,4,201,195,162,614.883333,4.236545,3.869225,4174648.0,15.820577,23.88428,-0.060794,0.1099253789684758
28963,36,6,66,58,46,-212.433333,1.418241,0.788445,590385.0,12.674436,30.015363,-0.052848,-0.0013687179487179332
28964,36,6,66,58,47,-205.283333,1.48888,0.774301,658783.0,12.651159,30.014422,-0.025866,0.0002346946768112395
28965,36,6,66,58,48,-198.15,1.561267,0.77323,601112.0,12.566059,30.086199,0.134156,0.0034813137660011655
28966,36,6,66,58,49,-191.016667,1.62868,0.823503,644657.0,12.610429,30.091288,0.082787,0.007003311535921238
28967,36,6,66,58,50,-183.883333,1.712307,0.869676,665208.0,12.66141,30.04575,0.051953,0.010781843523327166
28968,36,6,66,58,51,-176.75,1.831104,0.977132,752829.0,12.758986,29.986868,-0.012414,0.01362637846836852
28969,36,6,66,58,52,-169.616667,1.938117,1.077596,795291.0,12.737037,29.981964,0.043063,0.014161705052245338
