,p1ori_fluo,p1ori_std_dev,p1longori_fluo,p1longori_std_dev,p5ter_fluo,p5ter_std_dev,p5ori_fluo,p5ori_std_dev,p1longter_fluo,p1longter_std_dev,time
61,604168.0691188076,72860.9530429181,794416.1328406964,135078.9376983248,181013.31051319052,28612.60428450429,333429.6102275222,75568.66832636729,429399.5374289127,78967.16640800795,-54.59770114942526
62,604215.0741679047,74360.73019231146,796300.7815190058,134889.5485161802,180677.59948802984,27681.631126156837,333654.957337237,72370.63056342243,426153.335136541,81270.91941894474,-50.57471264367814
63,604833.4831644399,73693.88814406625,799578.3914222646,135314.84375685515,180729.95533761536,28099.627005333154,334054.75048899173,71688.38784089297,425412.73795453174,75470.8481020547,-46.55172413793102
64,606000.5463230652,74168.30058529809,801274.8616935787,135759.3190551965,180845.35752083187,27522.816823125504,334859.80687654566,71874.43099633782,426188.3961071119,75271.64069715673,-42.528735632183896
65,606658.9549612561,71791.64495432962,803442.2468060057,126055.0578632439,180857.92910080176,27776.265771085444,335393.2466248589,73037.36181691341,426411.28073638026,71394.4405638207,-38.505747126436745
66,606922.5196823038,77030.66247026685,803788.0595741689,131635.60341750653,180699.97544448383,29183.75824918061,335944.5718348797,72340.58367593851,428116.31497760856,73944.92743460572,-34.48275862068965
67,607072.5408418351,79973.03159017175,806173.4284858729,125076.75385086109,180640.9490568282,28099.294418888145,335783.6760726609,72161.14865849548,431259.8121277362,69221.93990980997,-30.4597701149425
68,607938.6678919495,80035.84283101102,804991.5876077409,130097.16177786492,180930.44783021638,27951.18038306962,335897.78348826565,73473.66793022485,432489.5936005254,66746.54585575248,-26.436781609195407
69,608177.516580552,77820.42853314546,805088.0460075517,128337.73827023865,180955.18980285357,28794.195874925517,335740.8765994691,72675.9775215108,433035.6542949123,68296.86535833216,-22.413793103448256
70,608536.246783694,76534.15580889574,803804.3332252378,132052.09305401964,181159.25874212108,28627.72071841784,336152.20206625684,72438.93184337349,434753.2466009574,67330.11825452714,-18.390804597701162
71,610069.815114251,73615.15460847005,803897.3128251362,122159.59886323639,181396.49890900415,30107.357180934287,335959.3371714627,70539.92239642366,435650.9769591933,67892.03694725016,-14.367816091954012
72,610711.4557245956,78764.38262792927,802359.7614979623,123110.3530731305,181402.90770679154,29125.168132488237,335958.3342055763,69468.64003499947,435318.06079269643,66748.81832801654,-10.344827586206861
73,610285.5565971953,80377.14768752968,801046.5140620064,122545.50347348068,181452.39152197156,29520.55293241051,336197.5640231343,69841.23041710653,437057.0356814685,66683.07959953269,-6.3218390804597675
74,610910.5368398629,82305.09004573071,802402.2142304439,122248.13675616015,181507.04031802324,29675.892547763797,336230.1253420029,69880.94567891555,437560.3000118278,65505.64769580772,-2.298850574712617
75,612177.5772115366,80563.25640367491,803173.3542238405,124604.8207616358,181371.3868794853,29842.91762620084,336175.4062962801,69912.40028320372,438098.95885810483,64638.93237497971,1.7241379310344769
76,611546.0015369337,80144.40552255078,802936.7586614994,122167.32402457365,181245.45808780234,29733.55584811347,335977.6145742056,69144.58604894215,438256.6275003744,65535.73547477462,5.7471264367816275
77,610220.9453488362,75816.90283872175,802197.0796139027,117174.21500570913,181037.893086165,28945.67840357222,335131.089953028,70163.94152253527,437018.1547979633,68280.17944193145,9.770114942528778
