,time,growth_rate,p1o_p5t_phi_r,sigma_p1o_p5t,p1o_p5o_phi_r,sigma_p1o_p5o,sigma2_p1o_p5t,d_phi_r,chi_r,chi2_r
67,-30.4597701149425,0.0187409565065231,0.24361006584732378,0.07693014014563956,0.20926004365839487,0.08955821751197111,0.05260225284561211,5.06795685333908e-05,0.2463142804649582,0.24756494607135315
68,-26.436781609195407,0.018665356801892345,0.24395763101213577,0.07651064951095475,0.20955860070409707,0.08906986751762282,0.05237196594216733,5.510976956556047e-05,0.24691014727799002,0.2482709870820916
69,-22.413793103448256,0.01871020373180599,0.24405347778635703,0.07666436021118614,0.20964093268856698,0.08924880981903002,0.05255600274033693,2.9803762985351232e-05,0.24564639272264321,0.24637709065822208
70,-18.390804597701162,0.01859228623966743,0.24419743140397193,0.07613628911972668,0.2097645882534637,0.0886340558931802,0.05258774557745408,9.437685596834538e-05,0.24927356108225693,0.2515466279240225
71,-14.367816091954012,0.018533301695926506,0.24481283179989544,0.07570396355316544,0.21029321466005502,0.08813076411374526,0.05241059702688846,0.00010848678327474387,0.2506664452064364,0.2532680252363631
72,-10.344827586206861,0.018627472630521842,0.24507031356825149,0.07600868648390632,0.2105143904390608,0.08848550729321318,0.052826748959530344,1.0759931638500788e-05,0.2456479513322104,0.24590143584184918
73,-6.3218390804597675,0.018721063727215676,0.24489940596250406,0.07644389194672857,0.21036758150932358,0.088992151703688,0.05292231669538912,9.929009301126417e-06,0.245429771621518,0.24566549516005895
74,-2.298850574712617,0.018853026569778737,0.24515020214883526,0.07690398133276967,0.2105830144008935,0.0895277647317159,0.0530828878918408,9.436299496558444e-05,0.25015539293962574,0.25240148621473224
75,1.7241379310344769,0.019011543097990347,0.2456586484507329,0.07739008261214599,0.21101976768102984,0.09009365950363254,0.05340241562606733,3.169328682572307e-05,0.24732570339005938,0.2480745226759147
76,5.7471264367816275,0.019224288325574032,0.24540520560605372,0.07833692149315924,0.2108020613208349,0.0911959219237197,0.05457086670859657,-9.758542862059553e-05,0.24032905261833673,0.23811834684660854
77,9.770114942528778,0.01944791969091566,0.24487347833539477,0.07942027786397722,0.21034530978437668,0.09245711117044429,0.05536833993738331,-0.00012590004075419526,0.2383997761217331,0.23558760794088582
78,13.793103448275872,0.01988542056372988,0.24439221677239928,0.08136683248897827,0.20993190808304196,0.09472319260711849,0.05710837652736728,-0.00020501636104127392,0.23408233369076034,0.22970290881627728
79,17.816091954023022,0.02007052724294807,0.24322392140747648,0.08251872236416924,0.20892834717426217,0.09606416512838116,0.05909952783403156,-0.0003724654488000248,0.22466609059957415,0.2173122340515463
80,21.839080459770116,0.020495866529995875,0.2413953683337784,0.08490579861356808,0.20735762761182192,0.09884307978467323,0.061022626200502895,-0.0004155627262783603,0.22111992764088645,0.21318448015247232
81,25.862068965517267,0.020787266250652497,0.23988031326500692,0.0866568246794302,0.20605620154499146,0.10088153666228623,0.062033555544324666,-0.00029861012701169943,0.22551526288218776,0.21981327629425523
82,29.88505747126436,0.02112490994575224,0.23899275811644288,0.0883914228708959,0.20529379532630038,0.10290086903101796,0.06251617011176627,-0.00011415151073240485,0.23358911327130316,0.23135256109706429
83,33.90804597701151,0.021075173151899034,0.23896185283382665,0.08819471770063085,0.20526724781576525,0.10267187472019287,0.062120291878052396,0.00011619058972007931,0.24447500277962483,0.2467890971755859
84,37.93103448275866,0.021087872510870215,0.2399276249302826,0.08789264061192562,0.20609684207068854,0.10232021169755405,0.06107372558046265,0.00040230952295865045,0.2590053921517636,0.26738289022053385
85,41.954022988505756,0.02091785730854105,0.24219882600705717,0.08636646862991626,0.20804779444545907,0.10054351868663902,0.05976190614822331,0.000755976372342228,0.2783390654776435,0.29442783039611564
86,45.977011494252906,0.020771339172657746,0.246010193443381,0.08443283947678473,0.21132174338245893,0.09829248443717836,0.058543902627708165,0.0008946785675212161,0.2890829370967571,0.30813030992821827
87,50.0,0.020522626015041137,0.24939738919400947,0.08228885667714958,0.2142313305876948,0.09579656700419117,0.05781355828325283,0.0008678432819065846,0.2916845351601513,0.30958674610307124
88,54.02298850574715,0.02051480220520612,0.2529928405391811,0.08108846938705756,0.21731980849128762,0.09439913622061084,0.05723838090688067,0.0009957535349090995,0.301531136202417,0.32175607317483934
89,58.045977011494244,0.020246381461723584,0.2574091992450022,0.07865445959626745,0.22111344243813144,0.09156558388524304,0.05703082621021783,0.0011035887938040992,0.3119171514877508,0.3325842197076098
90,62.068965517241395,0.020188589178659077,0.26187229060427153,0.07709326226182164,0.22494721954189617,0.0897481161126287,0.05726786239398489,0.0010532808190085144,0.314044377008502,0.33210568454932343
91,66.09195402298855,0.020188161275857562,0.2658838725013926,0.07592849120907784,0.22839315187646933,0.08839214796937828,0.05813795294622043,0.0009505355005555583,0.3129676800640098,0.32737558810952716
92,70.11494252873564,0.020408853849594344,0.2695202773903507,0.07572288826356416,0.23151680870557542,0.08815279531409183,0.058825783488734365,0.0008758185995601932,0.312433936629358,0.324760446425385
93,74.13793103448279,0.020438353180716705,0.272930688819693,0.07488477484559808,0.23444633808325116,0.0871771056345487,0.059851384003127006,0.000868922683166241,0.31544500861264274,0.32612369877987135
94,78.16091954022988,0.02064190375903072,0.2765116093238722,0.07465112878806218,0.23752233405425266,0.08690510659227475,0.06073670445840958,0.0009085167537289426,0.3205248342829059,0.33060800711319693
95,82.18390804597703,0.020855766135797246,0.28024059373475346,0.07442093187804598,0.24072551631155537,0.08663712287485546,0.06109753928483912,0.0008988248072566838,0.3233377785326748,0.3327358773668643
96,86.20689655172418,0.02115213282771623,0.28374353306042027,0.07454666049855699,0.24373452677125101,0.08678348984002526,0.06161537676194072,0.0007282425076393752,0.3181723310247153,0.3253979389587065
97,90.22988505747128,0.021412499246193456,0.2861000162100128,0.07484270546309767,0.2457587360954792,0.08712813056572088,0.06250908028225176,0.0005908997630313535,0.3136960364707677,0.3191409889295518
98,94.25287356321843,0.02158374061191118,0.28849789896986794,0.07481420380869215,0.24781850751448734,0.08709495036664848,0.06273974513903885,0.0005841810918978821,0.31556369365308873,0.32077258984065904
99,98.27586206896552,0.0217606950938646,0.29080032384597276,0.07483036747025948,0.24979628100433907,0.08711376729218241,0.06294129660050668,0.00045235906519098417,0.31158821978586515,0.31551487496157754
100,102.29885057471267,0.021848079493615,0.2921375696093356,0.07478695575797252,0.25094496960983653,0.08706322955022326,0.06344199770306588,0.0003923149421849088,0.31009406515850096,0.31330511928973864
101,106.32183908045977,0.0218640520993605,0.29395688085205823,0.07437843276873038,0.25250775047751606,0.08658764753958446,0.0637177460299586,0.00031616392576927114,0.30841732598512295,0.3108367190941372
102,110.34482758620692,0.021739354984142895,0.29468141728793895,0.07377239862702624,0.25313012429313464,0.08588213293399985,0.06422043234265594,0.0002152984726458381,0.3045850447324,0.30605808239333804
103,114.36781609195407,0.021726485413413252,0.2956891674135765,0.07347744796827375,0.253995777502308,0.08553876614431445,0.06481693597090463,0.0001964297192317865,0.30473019340071184,0.3059382096831424
104,118.39080459770116,0.021584481852440867,0.2962618862932522,0.0728560873033653,0.25448774066215557,0.0848154091677653,0.06564811947783858,0.00016072107127785824,0.30370802618100134,0.3045255901441761
105,122.41379310344831,0.021487011596355864,0.29698232545834086,0.07235114602592722,0.25510659493903165,0.08422758181336347,0.06630964473106071,0.00013094029333652094,0.3030762530736044,0.3036314735355411
106,126.4367816091954,0.021568319238500087,0.29731542888331614,0.07254355860208234,0.2553927294097508,0.0844515789010422,0.06684371349184186,-1.865644783723572e-05,0.2964504357593302,0.296376676738914
107,130.45977011494256,0.021592658175659005,0.2968322161079263,0.07274364777106286,0.2549776516250022,0.08468451269374586,0.06740097345173961,-0.0001424216902571004,0.2902363774159745,0.289713544937611
108,134.48275862068965,0.021525947628047597,0.29616950723756935,0.07268117446939187,0.2544083874336341,0.08461178440377849,0.0677024995594404,-0.00020326064987431357,0.28672691946459383,0.28603253483867536
109,138.5057471264368,0.021528783693587624,0.2951967855916962,0.07293027818861596,0.25357282354437166,0.08490177848187423,0.06815993767994287,-0.0002507149652623746,0.2835512152319991,0.2827361714111798
110,142.52873563218395,0.02157587302969199,0.2941522603906307,0.07334933616025757,0.25267558069680285,0.08538962479156971,0.06868575317743818,-0.0003297006670784364,0.27887127191685196,0.2778337327692084
111,146.55172413793105,0.02150826076202747,0.2925440216037088,0.07352145035854937,0.25129411019970394,0.08558999152401468,0.06924512044151614,-0.0002268652449628311,0.28199620244376267,0.2813448070191388
112,150.5747126436782,0.021512016047277656,0.29232690784495274,0.07358890156867604,0.2511076103747558,0.0856685148457782,0.0691868343587517,-0.00011887793297711784,0.28680079012935344,0.2864491865067931
113,154.5977011494253,0.021523071309061018,0.29158753248780095,0.07381341419308272,0.2504724899868549,0.08592988120248485,0.06956714189527166,-0.00019074348279107784,0.2827252525625945,0.2821843125050239
114,158.62068965517244,0.021598998056071024,0.2907921901673234,0.07427640351566128,0.2497892942078643,0.08646887019143916,0.0697490194690796,-0.00021125769785995902,0.2810112874925079,0.28037641257859236
115,162.64367816091954,0.02162554290061705,0.2898877579073185,0.07459971078713529,0.24901239061992597,0.0868452483299302,0.06989275376194665,-0.000177896018774213,0.28166155893549355,0.2811075620909435
116,166.66666666666669,0.021580496371040682,0.2893608428898297,0.07457987803573397,0.24855977278912963,0.0868221600337111,0.07006014370206573,-0.00012044889504423069,0.28377946547508853,0.28341939851265346
117,170.68965517241384,0.021640512661411787,0.28891862886673275,0.0749017560629285,0.24817991276381515,0.08719687431756964,0.07039417819249855,-0.00010775281052130344,0.28393941177482707,0.28362057562456805
118,174.71264367816093,0.021823977072127562,0.2884938662534514,0.07564797600568213,0.24781504342768762,0.08806558621408225,0.07050448289613702,-7.558641552608714e-05,0.2850304088242085,0.2847777402180327
119,178.73563218390808,0.0218442842031441,0.2883104623050286,0.0757665331618564,0.24765750019103772,0.08820360451952347,0.0704820233806315,-1.3286628554440942e-05,0.2877022195065519,0.2876566154664898
120,182.75862068965517,0.021923157923113747,0.2883869623455421,0.0760199342744408,0.24772321341090014,0.0884986014078126,0.07037925504476324,4.179050011619997e-05,0.2902931886411681,0.290445966772536
121,186.78160919540232,0.02190137904852587,0.2886467077082624,0.07587607432772721,0.24794633360814594,0.08833112686045513,0.0702883530028015,5.872843617203016e-05,0.29132820260599956,0.2915413737159012
122,190.80459770114948,0.02179301701687119,0.2888594899929033,0.07544504429266492,0.24812911271466115,0.08782934327392818,0.06973965768284916,7.20908782191883e-05,0.2921674706255701,0.2924380958198172
